1,цензура,цензура,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@si1984f-word#@si1984f#0.45#0.809
2,есть,быть,AUX,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@si1984f-word#@si1984f#0.809#1.168
3,?,?,PUNCT,_,_,_,_,_,@si1984f-word#@si1984f#1.168#1.528
4,вырезали,вырезать,VERB,_,Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@si1984f-word#@si1984f#1.92#2.218
5,ли,ли,PART,_,_,_,_,_,@si1984f-word#@si1984f#2.218#2.516
6,когда-нибудь,когда-нибудь,ADV,_,Degree=Pos,_,_,_,@si1984f-word#@si1984f#2.516#2.814
7,хоть,хоть,SCONJ,_,_,_,_,_,@si1984f-word#@si1984f#2.814#3.112
8,какой-то,какой-то,DET,_,Case=Acc|Gender=Masc|Number=Sing,_,_,_,@si1984f-word#@si1984f#3.112#3.41
9,номер,номер,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@si1984f-word#@si1984f#3.41#3.708
10,?,?,PUNCT,_,_,_,_,_,@si1984f-word#@si1984f#3.708#4.011
11,ну,ну,PART,_,_,_,_,_,@si1984f-word#@si1984f#28.691#28.94
12,какие,какой,DET,_,Case=Nom|Number=Plur,_,_,_,@si1984f-word#@si1984f#28.94#29.189
13,слова,слово,NOUN,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur,_,_,_,@si1984f-word#@si1984f#29.189#29.438
14,?,?,PUNCT,_,_,_,_,_,@si1984f-word#@si1984f#29.438#29.687
15,да,да,PART,_,_,_,_,_,@si1984f-word#@si1984f#31.401#32.029
16,угу,угу,INTJ,_,_,_,_,_,@si1984f-word#@si1984f#34.607#35.062
17,ну,ну,PART,_,_,_,_,_,@si1984f-word#@si1984f#35.737#35.821
18,э...,э,INTJ,_,_,_,_,_,@si1984f-word#@si1984f#35.821#35.905
19,смягчение,смягчение,NOUN,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,_,_,_,@si1984f-word#@si1984f#54.037#54.324
20,/,/,PUNCT,_,_,_,_,_,@si1984f-word#@si1984f#54.324#54.611
21,да,да,PART,_,_,_,_,_,@si1984f-word#@si1984f#54.611#54.898
22,да,да,PART,_,_,_,_,_,@si1984f-word#@si1984f#54.898#55.185
23,да,да,PART,_,_,_,_,_,@si1984f-word#@si1984f#55.185#55.476
